,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
1314990,14240634,JK306701,2026-06-21T20:20:00.000,013XX N ELSTON AVE,0890,THEFT,FROM BUILDING,BAR OR TAVERN,False,False,1433,14,27.0,24.0,06,1167586.0,1909274.0,2026,2026-06-29T15:42:22.000,41.906598157,-87.659825297,"{'latitude': '41.906598157', 'longitude': '-87.659825297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1314991,14237471,JK303743,2026-06-21T20:24:00.000,040XX N MEADE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1624,16,38.0,15.0,08B,1134967.0,1926214.0,2026,2026-06-29T15:42:22.000,41.953723718,-87.779247193,"{'latitude': '41.953723718', 'longitude': '-87.779247193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1314992,14237474,JK303737,2026-06-21T20:25:00.000,053XX S PULASKI RD,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,GROCERY FOOD STORE,True,True,815,8,23.0,62.0,04A,1150608.0,1868922.0,2026,2026-06-29T15:42:22.000,41.796216157,-87.723245665,"{'latitude': '41.796216157', 'longitude': '-87.723245665', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1314993,14237497,JK303773,2026-06-21T20:33:00.000,095XX S STATE ST,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,True,False,511,5,9.0,49.0,26,1177974.0,1841737.0,2026,2026-06-29T15:42:22.000,41.721040656,-87.623715064,"{'latitude': '41.721040656', 'longitude': '-87.623715064', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1314994,14238040,JK303756,2026-06-21T20:40:00.000,117XX S VINCENNES AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,True,2212,22,19.0,75.0,04B,1165467.0,1826973.0,2026,2026-06-29T15:42:22.000,41.680799541,-87.669942159,"{'latitude': '41.680799541', 'longitude': '-87.669942159', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1314995,14237513,JK303742,2026-06-21T20:43:00.000,080XX S EXCHANGE AVE,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,True,False,422,4,7.0,46.0,26,1197222.0,1852411.0,2026,2026-06-29T15:42:22.000,41.749873967,-87.552860394,"{'latitude': '41.749873967', 'longitude': '-87.552860394', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1314996,14237526,JK303821,2026-06-21T20:45:00.000,048XX S DREXEL BLVD,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,False,False,222,2,4.0,39.0,04A,1183133.0,1873130.0,2026,2026-06-29T15:42:22.000,41.807067906,-87.603843747,"{'latitude': '41.807067906', 'longitude': '-87.603843747', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1314997,14237510,JK303778,2026-06-21T20:46:00.000,009XX W MARQUETTE RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,723,7,16.0,68.0,08B,1171038.0,1860403.0,2026,2026-06-29T15:42:22.000,41.772416732,-87.648576027,"{'latitude': '41.772416732', 'longitude': '-87.648576027', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1314998,14237490,JK303757,2026-06-21T20:49:00.000,031XX W 62ND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,823,8,15.0,66.0,08B,1156674.0,1863355.0,2026,2026-06-29T15:42:22.000,41.780819226,-87.701151106,"{'latitude': '41.780819226', 'longitude': '-87.701151106', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1314999,14237517,JK303766,2026-06-21T20:53:00.000,071XX S ABERDEEN ST,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE,False,True,733,7,17.0,68.0,04B,1170220.0,1857372.0,2026,2026-06-29T15:42:22.000,41.764117123,-87.651662635,"{'latitude': '41.764117123', 'longitude': '-87.651662635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
