Community Area,Total Population
ALBANY PARK,"46,620"
ARCHER HEIGHTS,"14,021"
ARMOUR SQUARE,"14,239"
ASHBURN,"42,079"
AUBURN GRESHAM,"45,049"
AUSTIN,"98,882"
AVALON PARK,"9,447"
AVONDALE,"35,489"
BELMONT CRAGIN,"72,918"
BEVERLY,"19,570"
BRIDGEPORT,"33,091"
BRIGHTON PARK,"42,062"
BURNSIDE,"2,148"
CALUMET HEIGHTS,"11,645"
CHATHAM,"30,783"
CHICAGO LAWN,"53,460"
CLEARING,"24,924"
DOUGLAS,"21,756"
DUNNING,"41,816"
EAST GARFIELD PARK,"20,526"
EAST SIDE,"22,722"
EDGEWATER,"56,146"
EDISON PARK,"11,203"
ENGLEWOOD,"21,411"
FOREST GLEN,"19,517"
FULLER PARK,"2,221"
GAGE PARK,"35,691"
GARFIELD RIDGE,"36,426"
GRAND BOULEVARD,"26,345"
GREATER GRAND CROSSING,"29,563"
HEGEWISCH,"9,042"
HERMOSA,"22,776"
HUMBOLDT PARK,"55,598"
HYDE PARK,"29,591"
IRVING PARK,"53,832"
JEFFERSON PARK,"26,643"
KENWOOD,"18,138"
LAKE VIEW,"101,163"
LINCOLN PARK,"67,831"
LINCOLN SQUARE,"41,673"
LOGAN SQUARE,"70,869"
LOOP,"42,181"
LOWER WEST SIDE,"33,279"
MCKINLEY PARK,"15,443"
MONTCLARE,"14,084"
MORGAN PARK,"21,325"
MOUNT GREENWOOD,"18,553"
NEAR NORTH SIDE,"104,712"
NEAR SOUTH SIDE,"29,174"
NEAR WEST SIDE,"66,084"
NEW CITY,"41,790"
NORTH CENTER,"35,408"
NORTH LAWNDALE,"31,244"
NORTH PARK,"18,742"
NORWOOD PARK,"38,895"
OAKLAND,"6,946"
OHARE,"14,004"
PORTAGE PARK,"61,793"
PULLMAN,"6,741"
RIVERDALE,"7,536"
ROGERS PARK,"54,388"
ROSELAND,"36,700"
SOUTH CHICAGO,"29,381"
SOUTH DEERING,"14,210"
SOUTH LAWNDALE,"68,798"
SOUTH SHORE,"54,345"
UPTOWN,"57,331"
WASHINGTON HEIGHTS,"25,312"
WASHINGTON PARK,"13,111"
WEST ELSDON,"18,568"
WEST ENGLEWOOD,"26,729"
WEST GARFIELD PARK,"15,619"
WEST LAWN,"32,649"
WEST PULLMAN,"24,470"
WEST RIDGE,"78,227"
WEST TOWN,"86,598"
WOODLAWN,"23,956"
